epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2495,1.33585,2.59418,1.16017,0.89588,0.75325,0.82343,0.56174,1.15269,0.98172,1.06536,0.00333081,0.00333081,0.00333081
2,168.701,1.28319,1.32398,1.14084,0.88725,0.792,0.85701,0.57604,1.14926,0.86425,1.08669,0.00659816,0.00659816,0.00659816
3,241.56,1.33278,1.28779,1.17624,0.88775,0.7534,0.82721,0.5403,1.23619,0.94728,1.15184,0.00979952,0.00979952,0.00979952
4,314.034,1.35247,1.215,1.21154,0.91738,0.81064,0.86155,0.58181,1.14951,0.8281,1.10775,0.009703,0.009703,0.009703
5,386.476,1.27884,1.00287,1.17336,0.9276,0.84161,0.89662,0.62343,1.08511,0.71565,1.08131,0.009604,0.009604,0.009604
6,458.795,1.22383,0.88519,1.1411,0.93947,0.83979,0.89552,0.62922,1.06841,0.72842,1.07127,0.009505,0.009505,0.009505
7,531.119,1.19198,0.82159,1.12525,0.94606,0.87694,0.92639,0.66653,1.01225,0.59917,1.03316,0.009406,0.009406,0.009406
8,603.417,1.15651,0.76893,1.11115,0.95152,0.88689,0.93312,0.67986,0.98694,0.57475,1.01486,0.009307,0.009307,0.009307
9,675.689,1.1349,0.73398,1.09647,0.96392,0.89178,0.9386,0.6786,1.00628,0.5487,1.01955,0.009208,0.009208,0.009208
10,747.821,1.11176,0.69952,1.08495,0.96412,0.90503,0.94596,0.70207,0.94951,0.51846,1.00049,0.009109,0.009109,0.009109
11,819.911,1.09749,0.67848,1.07674,0.962,0.91213,0.94902,0.70515,0.94173,0.49398,1.00166,0.00901,0.00901,0.00901
12,892.066,1.07862,0.65632,1.06994,0.96343,0.91684,0.95212,0.7106,0.93316,0.48616,0.98981,0.008911,0.008911,0.008911
13,964.088,1.07604,0.65094,1.06932,0.97581,0.91999,0.95683,0.72203,0.91324,0.46984,0.98042,0.008812,0.008812,0.008812
14,1036.06,1.06074,0.62992,1.05908,0.96809,0.92934,0.95875,0.72603,0.90025,0.46097,0.9773,0.008713,0.008713,0.008713
15,1107.97,1.04653,0.61845,1.0555,0.96798,0.92788,0.95927,0.73003,0.89583,0.45007,0.9754,0.008614,0.008614,0.008614
16,1179.82,1.03961,0.60926,1.05016,0.96456,0.9249,0.95862,0.73732,0.87216,0.44212,0.96275,0.008515,0.008515,0.008515
17,1251.81,1.02915,0.60326,1.04638,0.96952,0.92962,0.95829,0.74394,0.86641,0.43219,0.96045,0.008416,0.008416,0.008416
18,1323.71,1.01953,0.59073,1.04012,0.9661,0.93905,0.96065,0.74299,0.86411,0.43073,0.95718,0.008317,0.008317,0.008317
19,1395.65,1.01002,0.58288,1.0367,0.97523,0.93646,0.96231,0.75188,0.84757,0.41939,0.95178,0.008218,0.008218,0.008218
