epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.306,2.95161,3.80534,3.04939,0.57596,0.41853,0.45101,0.23219,1.99067,1.99498,2.06242,0.000158606,0.000158606,0.000158606
2,600.329,1.87741,1.88316,1.83036,0.8455,0.67025,0.74953,0.46515,1.42419,1.19741,1.52423,0.000301568,0.000301568,0.000301568
3,874.902,1.56735,1.33686,1.53299,0.88727,0.77089,0.8351,0.54977,1.24987,0.94151,1.34185,0.000428822,0.000428822,0.000428822
4,1147.05,1.40301,1.07293,1.40092,0.93072,0.82295,0.87894,0.61117,1.12784,0.7747,1.24042,0.000405314,0.000405314,0.000405314
5,1418.64,1.29907,0.91969,1.32024,0.93284,0.86671,0.90583,0.63531,1.08618,0.67198,1.21828,0.000381752,0.000381752,0.000381752
6,1690.23,1.22885,0.82252,1.27201,0.95856,0.88175,0.92314,0.67168,1.01124,0.58593,1.15085,0.00035819,0.00035819,0.00035819
7,1962.45,1.16902,0.75366,1.23369,0.95994,0.89419,0.93395,0.68941,0.96574,0.53543,1.11769,0.000334628,0.000334628,0.000334628
8,2234.6,1.12788,0.70112,1.20291,0.96169,0.90101,0.93779,0.70011,0.94094,0.51151,1.09998,0.000311066,0.000311066,0.000311066
9,2506.42,1.09118,0.66721,1.18168,0.96926,0.91306,0.94336,0.7136,0.91533,0.48242,1.07989,0.000287504,0.000287504,0.000287504
10,2777.22,1.06039,0.62745,1.1596,0.97781,0.90882,0.95013,0.72843,0.89036,0.46279,1.06292,0.000263942,0.000263942,0.000263942
11,3046.24,0.97883,0.52481,1.12373,0.96972,0.92159,0.95263,0.73304,0.87809,0.45238,1.05086,0.00024038,0.00024038,0.00024038
12,3316.15,0.93839,0.49374,1.09821,0.97454,0.93086,0.95722,0.7471,0.84362,0.43072,1.03111,0.000216818,0.000216818,0.000216818
13,3584.33,0.91045,0.47221,1.07994,0.97315,0.92816,0.95965,0.75699,0.82807,0.42065,1.02588,0.000193256,0.000193256,0.000193256
14,3852.66,0.88685,0.45436,1.06372,0.97454,0.938,0.96257,0.76584,0.80261,0.40312,1.00773,0.000169694,0.000169694,0.000169694
15,4120.62,0.86022,0.43849,1.04528,0.9736,0.9396,0.96501,0.77163,0.78393,0.39413,0.99856,0.000146132,0.000146132,0.000146132
16,4388.69,0.83665,0.42233,1.03391,0.96981,0.93945,0.96592,0.77941,0.77336,0.38424,0.99096,0.00012257,0.00012257,0.00012257
17,4656.88,0.81312,0.40924,1.02102,0.97833,0.94535,0.96717,0.78327,0.76313,0.37381,0.98599,9.9008e-05,9.9008e-05,9.9008e-05
18,4927.62,0.78927,0.39682,1.00811,0.97329,0.94959,0.96881,0.78807,0.75009,0.36935,0.9793,7.5446e-05,7.5446e-05,7.5446e-05
19,5203.69,0.76591,0.38425,0.9948,0.97836,0.94982,0.96986,0.79601,0.73455,0.36238,0.97173,5.1884e-05,5.1884e-05,5.1884e-05
20,5475.46,0.74895,0.37693,0.98794,0.98216,0.94824,0.96964,0.7978,0.7305,0.35811,0.96847,2.8322e-05,2.8322e-05,2.8322e-05
