epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.242,3.15292,5.18946,3.54546,0.32683,0.1674,0.12943,0.05887,2.35998,3.22448,2.67215,0.000158546,0.000158546,0.000158546
2,391.728,2.2323,3.27537,2.34605,0.58546,0.45124,0.48586,0.27269,1.77452,1.96443,1.98389,0.000301511,0.000301511,0.000301511
3,576.898,1.85053,2.22095,1.89666,0.80193,0.63118,0.71316,0.43305,1.4858,1.38144,1.65251,0.000428768,0.000428768,0.000428768
4,761.201,1.65237,1.70894,1.69134,0.84652,0.73293,0.80738,0.51615,1.34198,1.13504,1.50323,0.000405314,0.000405314,0.000405314
5,945.547,1.52467,1.4217,1.56296,0.89063,0.78283,0.85908,0.57236,1.22216,0.97835,1.3845,0.000381752,0.000381752,0.000381752
6,1129.74,1.43402,1.24736,1.48256,0.90255,0.81477,0.8765,0.60624,1.15469,0.87285,1.32443,0.00035819,0.00035819,0.00035819
7,1313.87,1.36824,1.13349,1.42777,0.92138,0.86047,0.90349,0.63448,1.1047,0.78403,1.27282,0.000334628,0.000334628,0.000334628
8,1497.76,1.31462,1.0456,1.38119,0.928,0.87791,0.91621,0.64786,1.0827,0.73924,1.24026,0.000311066,0.000311066,0.000311066
9,1682.21,1.27832,0.9821,1.34587,0.94956,0.87735,0.92404,0.66113,1.05608,0.67871,1.21243,0.000287504,0.000287504,0.000287504
10,1866.19,1.23603,0.92074,1.30973,0.94372,0.88978,0.93059,0.67818,1.02493,0.6424,1.18702,0.000263942,0.000263942,0.000263942
11,2049.83,1.12961,0.75101,1.26908,0.9514,0.89986,0.93864,0.67938,1.02299,0.61534,1.18721,0.00024038,0.00024038,0.00024038
12,2232.83,1.088,0.69472,1.23391,0.95997,0.90172,0.94286,0.69417,1.00134,0.58993,1.16376,0.000216818,0.000216818,0.000216818
13,2415.67,1.05325,0.66115,1.21038,0.95919,0.90896,0.9444,0.70067,0.98529,0.57274,1.14756,0.000193256,0.000193256,0.000193256
14,2598.49,1.02557,0.63188,1.18409,0.96202,0.91156,0.95019,0.71044,0.96771,0.55521,1.13323,0.000169694,0.000169694,0.000169694
15,2781.39,1.00041,0.61085,1.16543,0.96197,0.92087,0.95226,0.71656,0.95073,0.5371,1.12269,0.000146132,0.000146132,0.000146132
16,2964.29,0.97793,0.58652,1.1526,0.96527,0.92033,0.95367,0.72523,0.9319,0.52429,1.10861,0.00012257,0.00012257,0.00012257
17,3147.03,0.95481,0.5693,1.13986,0.96078,0.92518,0.95555,0.73104,0.91869,0.50976,1.10008,9.9008e-05,9.9008e-05,9.9008e-05
18,3329.91,0.93404,0.5521,1.12207,0.97274,0.91974,0.95742,0.73639,0.9094,0.50177,1.09252,7.5446e-05,7.5446e-05,7.5446e-05
19,3512.69,0.9153,0.54192,1.1121,0.9653,0.92439,0.95704,0.73937,0.90198,0.49709,1.08781,5.1884e-05,5.1884e-05,5.1884e-05
20,3695.38,0.90047,0.53031,1.10421,0.97193,0.92495,0.95871,0.73995,0.89419,0.49132,1.08351,2.8322e-05,2.8322e-05,2.8322e-05
