epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,769.146,1.17246,1.16687,1.2224,0.9058,0.86736,0.91361,0.6419,1.09436,0.71713,1.19139,0.000158606,0.000158606,0.000158606
2,1518.47,1.15082,0.8122,1.22091,0.95385,0.9099,0.94734,0.68219,1.04025,0.58839,1.14504,0.000301568,0.000301568,0.000301568
3,2561.22,1.12375,0.7405,1.20826,0.95267,0.89132,0.9445,0.68941,0.99841,0.55529,1.12446,0.000428822,0.000428822,0.000428822
4,3896.76,1.06889,0.66643,1.17276,0.96492,0.93492,0.96151,0.71301,0.96382,0.48731,1.10326,0.000405314,0.000405314,0.000405314
5,5536.55,1.01982,0.59897,1.1442,0.97014,0.9297,0.96639,0.73428,0.91801,0.44689,1.07435,0.000381752,0.000381752,0.000381752
6,6283.22,0.98776,0.55325,1.12117,0.97987,0.94919,0.9732,0.75715,0.89206,0.41143,1.05132,0.00035819,0.00035819,0.00035819
7,7727.09,0.95412,0.52261,1.10171,0.9851,0.94733,0.97317,0.76878,0.84819,0.39051,1.03287,0.000334628,0.000334628,0.000334628
8,8459.06,0.92579,0.49349,1.08428,0.98204,0.95335,0.97463,0.77553,0.83469,0.37427,1.02742,0.000311066,0.000311066,0.000311066
9,9191.6,0.90275,0.47357,1.07332,0.98206,0.96132,0.97815,0.78097,0.82218,0.35901,1.01265,0.000287504,0.000287504,0.000287504
10,9928.36,0.87861,0.45181,1.05887,0.9816,0.9676,0.97926,0.79864,0.78803,0.33868,0.99563,0.000263942,0.000263942,0.000263942
11,10660.9,0.83987,0.39323,1.02991,0.9856,0.96597,0.98103,0.79969,0.78759,0.3466,0.99933,0.00024038,0.00024038,0.00024038
12,11391.8,0.81587,0.37467,1.01454,0.98379,0.96381,0.98148,0.8067,0.77084,0.33374,0.98515,0.000216818,0.000216818,0.000216818
13,12121,0.79127,0.3606,1.00315,0.98552,0.96799,0.98264,0.81531,0.7491,0.32074,0.9754,0.000193256,0.000193256,0.000193256
14,12848.3,0.77378,0.3489,0.99022,0.98306,0.97045,0.98487,0.81849,0.74255,0.31357,0.96505,0.000169694,0.000169694,0.000169694
15,13575.9,0.74882,0.33542,0.97612,0.98393,0.97061,0.98519,0.82456,0.72721,0.30797,0.96057,0.000146132,0.000146132,0.000146132
16,14303.3,0.72859,0.32444,0.97358,0.98877,0.97173,0.98596,0.83055,0.71102,0.30023,0.95977,0.00012257,0.00012257,0.00012257
17,15031.7,0.70909,0.31254,0.96165,0.98925,0.97035,0.98624,0.83532,0.69877,0.29048,0.9474,9.9008e-05,9.9008e-05,9.9008e-05
18,15760.8,0.68758,0.30013,0.94731,0.98805,0.97181,0.98447,0.83979,0.68045,0.28209,0.93608,7.5446e-05,7.5446e-05,7.5446e-05
19,16490.6,0.66312,0.28768,0.93547,0.99076,0.97319,0.98546,0.84218,0.67439,0.27805,0.93235,5.1884e-05,5.1884e-05,5.1884e-05
20,17221,0.64927,0.27979,0.9314,0.98912,0.97412,0.98574,0.84428,0.66948,0.27318,0.93025,2.8322e-05,2.8322e-05,2.8322e-05
