epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.544,1.31921,2.39258,1.12098,0.91108,0.79428,0.84853,0.5832,1.13508,0.87774,1.03,0.000158546,0.000158546,0.000158546
2,484.238,1.2005,1.12347,1.08272,0.92154,0.8476,0.90455,0.63151,1.06765,0.73082,1.00923,0.000301511,0.000301511,0.000301511
3,692.49,1.16097,0.92145,1.07018,0.9461,0.87179,0.92314,0.65463,1.0288,0.64187,1.00322,0.000428768,0.000428768,0.000428768
4,899.161,1.12619,0.80159,1.06359,0.95074,0.89579,0.93504,0.6809,0.98206,0.5816,0.98052,0.000405314,0.000405314,0.000405314
5,1126.14,1.0867,0.72106,1.04286,0.96896,0.90732,0.9436,0.69273,0.97134,0.53465,0.97249,0.000381752,0.000381752,0.000381752
6,1776.31,1.05308,0.66753,1.03141,0.96696,0.91803,0.95008,0.70607,0.93862,0.50326,0.96334,0.00035819,0.00035819,0.00035819
7,2219.38,1.02892,0.63574,1.02184,0.96867,0.92005,0.95185,0.71204,0.9223,0.49239,0.95803,0.000334628,0.000334628,0.000334628
8,2443.77,1.00526,0.60627,1.01491,0.97944,0.92005,0.95597,0.7282,0.89546,0.4688,0.94696,0.000311066,0.000311066,0.000311066
9,2646.74,0.98611,0.58325,1.00521,0.97656,0.9244,0.95812,0.72992,0.88971,0.45585,0.94214,0.000287504,0.000287504,0.000287504
10,2849.4,0.96619,0.56222,0.9978,0.97169,0.92739,0.96097,0.74404,0.85809,0.43977,0.93289,0.000263942,0.000263942,0.000263942
11,3073.61,0.91935,0.48606,0.96484,0.97225,0.93214,0.96047,0.74746,0.85844,0.43553,0.93473,0.00024038,0.00024038,0.00024038
12,3277.46,0.89371,0.46692,0.95378,0.9704,0.93406,0.96312,0.75443,0.83582,0.42717,0.92589,0.000216818,0.000216818,0.000216818
13,3480.95,0.87514,0.44986,0.94545,0.97156,0.93914,0.96618,0.76217,0.81703,0.41239,0.91854,0.000193256,0.000193256,0.000193256
14,3704.13,0.8542,0.43615,0.93625,0.97937,0.94439,0.96806,0.76989,0.79846,0.40173,0.91159,0.000169694,0.000169694,0.000169694
15,3906.47,0.83554,0.42479,0.92811,0.97449,0.94481,0.96908,0.7783,0.78554,0.38996,0.90289,0.000146132,0.000146132,0.000146132
16,4109.4,0.81593,0.41177,0.92201,0.97586,0.94911,0.96959,0.78243,0.77597,0.38,0.90435,0.00012257,0.00012257,0.00012257
17,4323.93,0.79803,0.40031,0.91561,0.97927,0.948,0.97218,0.78889,0.76317,0.3696,0.89403,9.9008e-05,9.9008e-05,9.9008e-05
18,4534.14,0.78145,0.3925,0.90961,0.97846,0.95222,0.97187,0.79029,0.75278,0.3662,0.89497,7.5446e-05,7.5446e-05,7.5446e-05
19,4736.08,0.7628,0.38095,0.90254,0.9755,0.95363,0.97307,0.79443,0.74596,0.35951,0.89047,5.1884e-05,5.1884e-05,5.1884e-05
20,4940.02,0.75033,0.37381,0.89828,0.97994,0.95332,0.97269,0.79685,0.7408,0.35538,0.88816,2.8322e-05,2.8322e-05,2.8322e-05
