epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9872,2.47138,4.14566,4.03153,0.00193,0.57785,0.00208,0.00065,2.92967,3.91921,4.45682,0.000657407,0.000657407,0.000657407
2,52.6284,2.18084,3.29905,3.12805,0.42286,0.32526,0.29321,0.08738,2.47993,4.32834,3.80569,0.00119299,0.00119299,0.00119299
3,70.9895,1.93156,2.23304,2.62824,0.47396,0.43945,0.44037,0.16473,2.26608,5.91234,3.67454,0.00159657,0.00159657,0.00159657
4,89.2067,1.77171,1.74804,2.39775,0.79326,0.65744,0.74021,0.40092,1.78508,1.26,2.38384,0.001406,0.001406,0.001406
5,107.53,1.5831,1.40393,2.1971,0.87683,0.76361,0.83968,0.53411,1.34584,1.36453,1.92791,0.001208,0.001208,0.001208
6,125.925,1.44872,1.17135,2.02993,0.89508,0.79698,0.90195,0.62704,1.20591,0.94351,1.78426,0.00101,0.00101,0.00101
7,144.478,1.30701,1.06766,1.90444,0.8752,0.82501,0.92103,0.65032,0.99417,0.95753,1.61335,0.000812,0.000812,0.000812
8,162.822,1.14932,0.94244,1.75839,0.94773,0.87197,0.96588,0.71302,0.9949,0.70328,1.60036,0.000614,0.000614,0.000614
9,181.352,1.0596,0.8533,1.6559,0.93651,0.89273,0.97047,0.75449,0.88773,0.67788,1.48065,0.000416,0.000416,0.000416
10,199.115,0.97087,0.78392,1.57552,0.94369,0.92791,0.9802,0.79846,0.77692,0.59461,1.37241,0.000218,0.000218,0.000218
