epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0908,0.82943,1.92,1.24985,0.83387,0.79893,0.88412,0.70198,0.75006,2.14588,1.26046,0.000657407,0.000657407,0.000657407
2,37.1358,0.86079,1.23722,1.22072,0.87949,0.80808,0.89199,0.66806,0.9148,1.60348,1.40654,0.00131097,0.00131097,0.00131097
3,46.4696,0.90993,1.09479,1.23926,0.89973,0.73702,0.85109,0.64157,0.88961,1.55198,1.50877,0.00195132,0.00195132,0.00195132
4,55.6814,0.88094,0.919,1.21597,0.52076,0.66551,0.58868,0.40535,1.10628,2.23266,1.50977,0.0019406,0.0019406,0.0019406
5,64.902,0.86292,0.82824,1.20635,0.87633,0.80969,0.90699,0.70595,0.80405,0.96462,1.23383,0.0019208,0.0019208,0.0019208
6,74.5924,0.84935,0.74782,1.19465,0.914,0.94464,0.97411,0.81147,0.6594,0.56352,1.08372,0.001901,0.001901,0.001901
7,83.9559,0.83832,0.70387,1.17555,0.90994,0.71626,0.80505,0.63981,0.82064,0.99994,1.26359,0.0018812,0.0018812,0.0018812
8,93.1709,0.79279,0.67094,1.15952,0.87615,0.85121,0.94276,0.74521,0.70793,0.72856,1.11542,0.0018614,0.0018614,0.0018614
9,102.412,0.74121,0.5942,1.12763,0.96116,0.94189,0.98577,0.84867,0.53521,0.48826,0.99186,0.0018416,0.0018416,0.0018416
10,112.155,0.72482,0.56728,1.10971,0.89199,0.88589,0.96438,0.78422,0.66686,0.69953,1.08271,0.0018218,0.0018218,0.0018218
11,121.346,0.72204,0.54298,1.11682,0.95897,0.88952,0.97231,0.82308,0.61679,0.47583,1.04474,0.001802,0.001802,0.001802
12,130.497,0.69567,0.51407,1.09129,0.88106,0.91696,0.91706,0.76007,0.58882,0.59566,1.03121,0.0017822,0.0017822,0.0017822
13,139.67,0.68734,0.51572,1.08426,0.9602,0.99308,0.99259,0.8694,0.54721,0.3797,0.98671,0.0017624,0.0017624,0.0017624
14,149.455,0.6765,0.49484,1.07864,0.93394,0.97844,0.98922,0.86158,0.58389,0.42406,1.00212,0.0017426,0.0017426,0.0017426
15,159.159,0.67035,0.48832,1.07573,0.96574,0.97546,0.99249,0.89667,0.48043,0.34719,0.93514,0.0017228,0.0017228,0.0017228
16,169.142,0.63819,0.46496,1.06001,0.93973,0.97113,0.98584,0.84455,0.59182,0.40874,1.01755,0.001703,0.001703,0.001703
17,178.686,0.64963,0.47373,1.0764,0.89879,0.96194,0.98664,0.87465,0.51738,0.46542,0.94486,0.0016832,0.0016832,0.0016832
18,187.879,0.64598,0.47223,1.06949,0.97291,0.99398,0.99361,0.87691,0.55704,0.35526,0.98847,0.0016634,0.0016634,0.0016634
19,197.269,0.65197,0.45757,1.07531,0.96006,0.97924,0.99081,0.87821,0.48531,0.35968,0.93277,0.0016436,0.0016436,0.0016436
20,206.66,0.61461,0.43744,1.05108,0.9492,0.96977,0.99147,0.89552,0.4927,0.42892,0.94207,0.0016238,0.0016238,0.0016238
21,216.183,0.61934,0.44644,1.05237,0.97596,0.98339,0.9937,0.89653,0.49339,0.3055,0.93571,0.001604,0.001604,0.001604
22,225.665,0.60207,0.42583,1.04339,0.9741,0.98962,0.99421,0.9013,0.47905,0.31272,0.91447,0.0015842,0.0015842,0.0015842
23,235.179,0.62156,0.42843,1.05672,0.97617,0.99222,0.99272,0.90684,0.48589,0.31497,0.9316,0.0015644,0.0015644,0.0015644
24,244.809,0.60658,0.42938,1.0468,0.9863,0.99633,0.99465,0.92103,0.44343,0.27688,0.8976,0.0015446,0.0015446,0.0015446
25,254.395,0.60171,0.41591,1.04341,0.98041,0.98962,0.99345,0.91529,0.44148,0.28919,0.89461,0.0015248,0.0015248,0.0015248
26,264.259,0.57503,0.39924,1.01938,0.9862,0.98925,0.99445,0.91532,0.4533,0.29882,0.90116,0.001505,0.001505,0.001505
27,273.717,0.57609,0.39492,1.0344,0.99109,0.96886,0.99409,0.91855,0.45331,0.28618,0.90618,0.0014852,0.0014852,0.0014852
28,282.999,0.57177,0.39496,1.01656,0.98215,1,0.99448,0.91682,0.44854,0.29584,0.90715,0.0014654,0.0014654,0.0014654
29,292.354,0.56981,0.39356,1.03095,0.99643,0.99308,0.99469,0.91356,0.43864,0.27496,0.89801,0.0014456,0.0014456,0.0014456
30,301.637,0.55084,0.37706,1.01003,0.9663,0.99216,0.99337,0.91312,0.45522,0.29356,0.9081,0.0014258,0.0014258,0.0014258
31,310.946,0.55264,0.37609,1.0099,0.96607,0.98616,0.99268,0.9146,0.45911,0.27934,0.9104,0.001406,0.001406,0.001406
32,320.227,0.54866,0.38307,1.01108,0.9793,1,0.99434,0.90896,0.47512,0.27435,0.91984,0.0013862,0.0013862,0.0013862
33,329.701,0.53014,0.35784,0.99776,0.98606,0.97928,0.99367,0.91942,0.45584,0.28968,0.90448,0.0013664,0.0013664,0.0013664
34,339.352,0.55774,0.37257,1.00531,0.98046,0.97578,0.9937,0.91032,0.42712,0.28244,0.88552,0.0013466,0.0013466,0.0013466
35,348.732,0.55477,0.35327,1.01358,0.96653,0.99911,0.99394,0.92155,0.40749,0.26354,0.87213,0.0013268,0.0013268,0.0013268
36,358.445,0.53297,0.34859,0.99616,0.98281,0.9827,0.99444,0.91554,0.41581,0.26004,0.88517,0.001307,0.001307,0.001307
37,367.837,0.54999,0.36786,1.00234,0.98604,1,0.99468,0.92604,0.40721,0.24825,0.88249,0.0012872,0.0012872,0.0012872
38,377.355,0.51997,0.35287,0.99389,0.98242,0.99308,0.99301,0.93046,0.39568,0.25323,0.86234,0.0012674,0.0012674,0.0012674
39,386.706,0.51632,0.34394,0.98837,0.98933,0.99654,0.9949,0.9281,0.41004,0.25054,0.87909,0.0012476,0.0012476,0.0012476
40,395.975,0.52362,0.34771,0.99187,0.99087,0.99308,0.9949,0.92893,0.41705,0.25022,0.87363,0.0012278,0.0012278,0.0012278
41,405.286,0.51422,0.34893,0.99033,0.99153,0.99308,0.99483,0.92683,0.42177,0.26905,0.88961,0.001208,0.001208,0.001208
42,414.6,0.50656,0.33859,0.97578,0.99532,1,0.99497,0.93447,0.40515,0.2415,0.87636,0.0011882,0.0011882,0.0011882
43,424.525,0.51386,0.33925,0.99151,0.99655,0.99945,0.99493,0.93489,0.38195,0.24028,0.85675,0.0011684,0.0011684,0.0011684
44,433.942,0.49778,0.33757,0.99081,0.98964,0.99162,0.99472,0.93644,0.391,0.2414,0.86839,0.0011486,0.0011486,0.0011486
45,443.346,0.48926,0.33093,0.9797,0.98299,0.99988,0.99486,0.94077,0.3817,0.23637,0.85551,0.0011288,0.0011288,0.0011288
46,453.104,0.48756,0.3208,0.97667,0.98712,0.99308,0.99447,0.92724,0.43635,0.2543,0.9021,0.001109,0.001109,0.001109
47,462.386,0.48337,0.32262,0.98271,0.99229,0.99654,0.99493,0.94658,0.38621,0.22611,0.86588,0.0010892,0.0010892,0.0010892
48,471.771,0.49088,0.31659,0.98189,0.98142,0.99654,0.99479,0.95034,0.37905,0.22825,0.86363,0.0010694,0.0010694,0.0010694
49,481.52,0.48887,0.31811,0.98462,0.98857,1,0.99479,0.93822,0.40299,0.23593,0.86778,0.0010496,0.0010496,0.0010496
50,490.929,0.47044,0.30377,0.96704,0.99654,0.99582,0.9949,0.94416,0.3887,0.2243,0.8568,0.0010298,0.0010298,0.0010298
51,500.287,0.47873,0.31604,0.98172,0.98969,0.9964,0.99486,0.94125,0.37841,0.2313,0.85046,0.00101,0.00101,0.00101
52,509.797,0.47453,0.31399,0.97825,0.99404,0.99654,0.99486,0.94778,0.38828,0.24419,0.85771,0.0009902,0.0009902,0.0009902
53,519.013,0.45244,0.30155,0.95784,0.9871,0.98962,0.99433,0.94502,0.3776,0.23034,0.85607,0.0009704,0.0009704,0.0009704
54,528.285,0.47421,0.30148,0.97494,0.9983,0.99654,0.995,0.94934,0.36781,0.21026,0.84932,0.0009506,0.0009506,0.0009506
55,537.499,0.46531,0.29985,0.96967,0.98299,0.99958,0.99486,0.94807,0.37579,0.20966,0.8505,0.0009308,0.0009308,0.0009308
56,546.69,0.44808,0.30085,0.95948,1,0.99573,0.995,0.94701,0.37193,0.21523,0.85368,0.000911,0.000911,0.000911
